sample_index,design,request_group,metric_or_endpoint,url,status_code,response_size_bytes,elapsed_ms,error
11,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.830,
11,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.801,
11,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.852,
11,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.816,
11,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.275,
12,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.102,
12,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.973,
12,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.920,
12,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.798,
12,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.762,
12,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.777,
12,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.202,
13,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.009,
13,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.818,
13,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.824,
13,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.751,
13,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.804,
13,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.792,
13,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.264,
14,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.092,
14,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.848,
14,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.812,
14,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.816,
14,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.834,
14,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.782,
14,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.232,
15,design-a,prometheus-direct,cpu,http://localhost:9090/api/v1/query?query=100+-+%28avg+by+%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B1m%5D%29%29+%2A+100%29,200,153,1.036,
15,design-a,prometheus-direct,memory,http://localhost:9090/api/v1/query?query=%281+-+%28node_memory_MemAvailable_bytes+%2F+node_memory_MemTotal_bytes%29%29+%2A+100,200,174,0.851,
15,design-a,prometheus-direct,disk,http://localhost:9090/api/v1/query?query=%281+-+%28node_filesystem_avail_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D+%2F+node_filesystem_size_bytes%7Bmountpoint%3D%22%2F%22%2Cfstype%21%3D%22rootfs%22%7D%29%29+%2A+100,200,63,0.871,
15,design-a,prometheus-direct,connectivity,http://localhost:9090/api/v1/query?query=up%7Bjob%3D%22node_exporter%22%7D,200,174,0.795,
15,design-a,prometheus-direct,rx,http://localhost:9090/api/v1/query?query=rate%28node_network_receive_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.849,
15,design-a,prometheus-direct,tx,http://localhost:9090/api/v1/query?query=rate%28node_network_transmit_bytes_total%7Bdevice%21%3D%22lo%22%7D%5B1m%5D%29,200,191,0.810,
15,design-b,gateway-summary,summary,http://localhost:8080/api/v1/summary,200,338,1.297,
